"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
A.J. Price,,2.2,1.2,0.7,0.3,0.3,0.0,
Michael Holton,87.6,2.3,1.3,0.8,0.3,0.2,-0.2,
Courtney Alexander,85.8,2.2,1.1,0.8,,,,
Mike Davis,83.9,2.2,1.2,0.9,0.6,,,
Ian Clark,83.3,2.3,1.1,0.9,0.2,-0.1,-0.1,
Jordan Goodwin,81.7,2.2,1.2,1.0,-0.1,,,
Mo Layton,79.8,1.9,1.1,1.0,0.3,0.1,,
Justin Anderson,79.4,1.9,1.2,1.1,0.4,0.4,-0.1,
Lonnie Walker IV,79.2,1.8,1.2,0.8,0.4,0.3,0.3,0.0
Kevin O'Shea,78.4,2.1,1.2,0.5,,,,
Chris Douglas-Roberts,78.0,2.4,1.6,0.7,0.6,0.1,0.0,
