"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Quincy Acy,,2.5,1.7,1.5,1.1,1.0,0.9,-0.1,,
Jeremy Evans,85.2,2.8,1.6,1.3,0.9,0.9,0.6,0.0,,
Wesley Johnson,79.7,2.6,1.9,1.7,1.7,1.3,0.9,0.6,0.0,0.0
Noah Vonleh,79.7,3.2,1.8,1.6,1.2,1.0,0.5,0.2,-0.1,
Cristiano FelÃ­cio,79.0,3.4,1.7,1.4,1.2,1.0,0.3,,,
Marty Conlon,78.8,3.1,1.8,1.4,1.0,0.8,0.6,0.3,0.0,-0.1
Juancho HernangÃ³mez,78.1,3.0,1.8,1.1,0.9,0.9,0.7,0.4,,
Keita Bates-Diop,77.9,2.7,1.6,1.3,1.2,0.3,0.3,,,
Mark Madsen,77.1,2.7,1.9,1.1,1.1,0.8,0.6,0.4,-0.1,-0.3
Mark Acres,77.0,2.5,2.2,1.9,1.6,0.9,0.3,,,
Richard Anderson,76.7,2.3,2.1,1.3,1.0,0.5,0.5,,,
