"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Quincy Acy,,2.5,1.7,1.5,1.1,1.0,0.9,-0.1
Dillon Brooks,89.7,2.7,1.6,1.6,1.4,1.2,1.2,0.0
Damien Wilkins,87.4,2.8,1.9,1.7,1.5,1.0,1.0,0.0
Wesley Johnson,86.5,2.6,1.9,1.7,1.3,0.9,0.6,0.0
Jud Buechler,85.6,2.3,1.8,1.5,1.2,1.2,0.5,0.4
Jeremy Evans,85.2,2.8,1.6,1.3,0.9,0.9,0.6,0.0
Taurean Prince,85.1,2.2,2.0,1.5,1.3,1.1,1.0,0.6
Jason Smith,82.9,2.2,1.7,1.6,1.5,1.2,0.9,0.7
Noah Vonleh,82.2,3.2,1.8,1.6,1.2,1.0,0.5,-0.1
Pete Chilcutt,81.3,2.1,2.0,1.5,1.4,1.1,1.0,0.7
Mark Madsen,81.1,2.7,1.9,1.1,1.1,0.8,0.6,0.4
