"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Doug McDermott,,3.8,3.3,2.9,2.8,2.6,2.3,1.6,1.0,0.9,0.4,0.0,,,,
Othella Harrington,92.1,3.8,3.6,3.0,3.0,2.5,2.2,1.7,1.4,1.1,0.8,0.0,0.0,,,
Andrew DeClercq,90.0,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4,0.1,,,,,
Trey Lyles,89.9,3.9,3.5,2.6,2.6,2.4,2.3,2.2,1.2,0.8,0.6,,,,,
J.R. Reid,88.7,3.5,3.4,3.0,2.5,2.5,2.1,1.8,1.8,1.1,0.7,0.1,,,,
Omri Casspi,87.3,3.6,2.7,2.5,2.5,2.4,2.2,1.3,1.2,0.7,0.5,,,,,
Maurice Harkless,87.1,4.2,3.4,3.2,2.9,2.8,2.7,2.4,0.6,0.5,0.3,,,,,
Kelly Oubre Jr.,86.6,3.8,3.7,3.3,3.0,2.6,2.2,2.2,2.0,1.7,0.4,,,,,
Charles Jones,86.1,3.8,3.2,2.9,2.8,2.2,2.2,1.8,1.6,1.6,1.5,0.6,0.2,0.2,0.0,0.0
Greg Anderson,86.0,3.4,3.4,3.0,2.3,2.2,2.0,1.5,0.7,0.4,-0.3,,,,,
Pat Cummings,86.0,4.2,4.0,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,,,
