Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2020-21,23,CHO,NBA,PG,7,0,27,14.5,21.7,0.667,3.6,7.2,0.5,10.9,14.5,0.75,0.75,0.0,0.0,0.0,1.8,1.8,5.4,1.8,0.0,1.8,0.0,32.6,134,117,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,27,14.5,21.7,0.667,3.6,7.2,0.5,10.9,14.5,0.75,0.75,0.0,0.0,0.0,1.8,1.8,5.4,1.8,0.0,1.8,0.0,32.6,134,117,
