"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 24_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2011-12,23,LAC,NBA,C,11.0,11.0,249.0,0.525,2.4,1.0,0.775,0.225,0.0,0.0,0.0,0.525,0.645,0.111,,,0.762,0.5,15.0,,0.0,0.0,
2012-13,24,LAC,NBA,C,6.0,6.0,144.0,0.455,2.8,1.0,0.5,0.5,0.0,0.0,0.0,0.455,0.545,0.364,,,0.6,0.227,4.0,,0.0,0.0,
2013-14,25,LAC,NBA,C,13.0,13.0,442.0,0.73,2.1,1.0,0.825,0.175,0.0,0.0,0.0,0.73,0.731,0.727,,,0.761,0.54,30.0,,0.0,0.0,
2014-15,26,LAC,NBA,C,14.0,14.0,482.0,0.716,1.5,1.0,0.827,0.16,0.012,0.0,0.0,0.716,0.791,0.385,0.0,,0.724,0.543,40.0,,0.0,0.0,
2015-16,27,LAC,NBA,C,6.0,6.0,198.0,0.632,1.8,1.0,0.763,0.237,0.0,0.0,0.0,0.632,0.724,0.333,,,0.542,0.395,13.0,,0.0,0.0,
2016-17,28,LAC,NBA,C,7.0,7.0,264.0,0.705,2.0,0.984,0.918,0.066,0.0,0.0,0.016,0.717,0.732,0.5,,0.0,0.791,0.557,31.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,33,PHI,NBA,C,3.0,2.0,31.0,1.0,1.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,0.8,0.6,3.0,,0.0,0.0,
2022-23,34,DEN,NBA,C,4.0,0.0,14.0,0.667,2.1,1.0,1.0,0.0,0.0,0.0,0.0,0.667,0.667,,,,1.0,1.0,2.0,,0.0,0.0,
2023-24,35,DEN,NBA,C,2.0,0.0,13.0,0.5,1.6,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,,,,1.0,1.0,1.0,,0.0,0.0,
2024-25,36,DEN,NBA,C,7.0,0.0,36.0,1.0,3.0,1.0,0.667,0.333,0.0,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,0.0,0.0,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,73.0,59.0,1873.0,0.67,2.1,0.997,0.811,0.182,0.003,0.0,0.003,0.672,0.733,0.414,0.0,0.0,0.732,0.513,142.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,66.0,2104.0,0.67,2.1,0.997,0.811,0.182,0.003,0.0,0.003,0.672,0.733,0.414,0.0,0.0,0.732,0.513,160.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (6 Yrs),LAC (6 Yrs),LAC (6 Yrs),LAC (6 Yrs),,57.0,57.0,1779.0,0.662,2.1,0.997,0.807,0.187,0.003,0.0,0.003,0.664,0.728,0.404,0.0,0.0,0.723,0.498,133.0,0.0,1.0,0.0,
DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,13.0,0.0,63.0,0.75,2.2,1.0,0.875,0.125,0.0,0.0,0.0,0.75,0.714,1.0,,,1.0,1.0,6.0,,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,3.0,2.0,31.0,1.0,1.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,0.8,0.6,3.0,,0.0,0.0,
