Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2007-08,24,HOU,NBA,SF,3.0,0.0,7.0,1.0,1.3,0.75,0.7,1.0,0.667,0.3,0.3,1.0,1.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.7,2.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,SAS,NBA,SF,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011-12,28,NYK,NBA,PF,5.0,1.0,19.0,0.8,1.8,0.444,0.8,1.4,0.571,0.0,0.4,0.0,0.667,0.0,0.0,0.6,2.4,3.0,0.0,0.0,0.2,0.6,1.4,2.4,
2012-13,29,NYK,NBA,SF,9.0,0.0,5.6,0.8,1.4,0.538,0.4,1.0,0.444,0.3,0.4,0.75,0.692,0.0,0.0,0.2,0.2,0.4,0.0,0.1,0.0,0.0,0.6,2.0,
2013-14,30,TOR,NBA,PF,4.0,0.0,3.8,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.3,1.3,0.3,0.0,0.0,0.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,22.0,1.0,8.5,0.6,1.3,0.483,0.5,1.0,0.455,0.2,0.3,0.571,0.655,0.0,0.0,0.3,1.0,1.2,0.0,0.0,0.1,0.1,0.6,1.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,14.0,1.0,10.4,0.8,1.6,0.5,0.6,1.1,0.5,0.2,0.4,0.5,0.682,0.0,0.0,0.4,1.0,1.4,0.0,0.1,0.1,0.2,0.9,2.1,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4.0,0.0,3.8,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.3,1.3,0.3,0.0,0.0,0.0,0.0,0.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,0.0,7.0,1.0,1.3,0.75,0.7,1.0,0.667,0.3,0.3,1.0,1.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.7,2.7,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
