"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Marc Gasol,,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7,3.0,2.8
Al Horford,89.9,10.9,10.1,9.4,8.8,8.7,7.8,7.5,6.8,6.3,5.5,5.4,2.8,1.3
Andre Drummond,87.0,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.9,4.5,4.2,2.8,2.0,1.2
Alonzo Mourning,87.0,12.9,9.9,9.4,8.4,8.2,7.9,7.5,7.4,6.3,4.8,1.2,0.9,0.6
Tyson Chandler,86.7,10.0,9.5,9.4,9.3,8.3,7.9,5.4,4.9,3.9,3.4,2.9,1.9,1.8
Brad Miller,86.4,10.0,9.6,9.1,8.6,8.3,6.5,5.1,4.0,3.8,3.4,3.0,2.7,2.1
Nate Thurmond,85.8,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.7,4.3,3.7,3.5,2.4
Clint Capela,85.7,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0,,
Vlade Divac,84.7,9.5,8.3,7.4,7.4,7.3,7.3,7.2,6.1,5.9,5.6,5.2,5.0,1.8
Clyde Lovellette,83.6,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3,,
Dave Cowens,83.0,12.0,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,,
