"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
John Collins,,6.7,6.0,5.4,5.1,4.9,4.4,4.2,2.5,,,,,
Jim Washington,92.5,6.7,5.5,5.4,4.9,4.7,4.3,3.6,2.4,1.3,0.5,0.0,,
Jaylen Brown,91.0,5.9,5.8,5.2,5.0,4.9,4.8,4.5,3.0,1.5,,,,
Jerome Williams,90.4,7.6,5.4,5.0,4.8,4.5,4.3,3.5,2.6,0.2,,,,
Bill Bradley,89.7,7.0,5.4,5.4,4.9,4.7,4.2,2.8,2.5,1.1,0.8,,,
Ed Davis,89.6,6.7,6.3,5.7,5.4,5.0,4.0,3.9,2.6,1.7,0.8,0.6,0.5,
Gus Johnson,87.6,7.2,5.9,5.3,5.1,5.0,3.5,2.2,1.6,0.9,0.1,,,
Cliff Levingston,87.6,7.0,6.1,5.5,5.5,5.3,4.7,3.4,2.9,2.0,1.3,0.5,,
Kenneth Faried,87.2,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,,,,,
Tom Gugliotta,87.2,6.7,5.4,5.3,5.2,5.0,3.8,3.5,1.8,1.6,0.9,0.4,0.4,0.3
Keith Van Horn,87.0,6.5,6.3,6.3,5.5,4.8,3.7,3.5,2.8,2.3,,,,
