"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Larry Nance Jr.,,5.8,4.9,4.9,4.1,3.9,3.5,2.3,2.2,1.8,1.3,,,
Walt Williams,91.5,5.4,5.1,5.1,4.4,3.7,3.0,2.5,2.2,1.7,1.6,-0.7,,
Tom Van Arsdale,91.1,5.5,5.0,4.8,4.4,4.0,3.1,2.7,2.2,1.6,1.4,1.1,1.0,
Bobby Portis,90.5,5.5,5.3,4.8,4.7,3.5,2.7,2.4,1.9,1.6,1.5,,,
Harvey Grant,89.8,6.7,5.0,4.3,4.0,4.0,3.9,2.7,2.6,1.7,0.8,0.7,,
John Johnson,89.6,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,
Willie Naulls,89.1,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,,,
Morris Peterson,89.0,5.9,5.1,4.9,4.9,3.8,3.6,3.2,2.9,0.8,0.6,0.0,,
Rod Higgins,88.8,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.4,1.3,1.0,0.1,0.0
Chris Gatling,88.3,4.6,4.5,4.0,3.9,3.9,3.1,2.4,2.4,2.0,1.4,-0.1,,
Chuck Person,88.0,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.9,0.0,-0.1
