Season,Team,Lg,Salary
2015-16,Los Angeles Lakers,NBA,"$1,155,600"
2016-17,Los Angeles Lakers,NBA,"$1,207,680"
2017-18,Cleveland Cavaliers,NBA,"$1,471,382"
2018-19,Cleveland Cavaliers,NBA,"$2,272,391"
2019-20,Cleveland Cavaliers,NBA,"$12,727,273"
2020-21,Cleveland Cavaliers,NBA,"$11,709,091"
2021-22,New Orleans Pelicans,NBA,"$10,690,909"
2022-23,New Orleans Pelicans,NBA,"$9,672,727"
2023-24,New Orleans Pelicans,NBA,"$10,375,000"
2024-25,Atlanta Hawks,NBA,"$11,205,000"
Career,(may be incomplete),,"$72,487,053"
