"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
J.J. Hickson,,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8
T.J. Warren,87.9,6.5,4.1,3.4,2.2,2.1,1.2,1.1,0.1
Alan Henderson,87.0,6.0,4.3,3.1,2.6,2.0,1.9,1.3,0.7
AndrÃ©s Nocioni,85.6,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2
Markieff Morris,85.5,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5
John Williams,84.6,6.9,5.0,3.5,1.9,1.3,1.0,0.8,-0.5
Dario Å ariÄ,84.4,6.6,3.6,3.5,2.8,1.7,1.7,1.0,0.0
Adam Keefe,83.5,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.4
Jason Maxiell,83.5,6.3,4.1,2.6,1.8,1.8,1.7,0.5,-0.2
Buck Johnson,83.2,6.2,4.6,3.6,2.3,2.1,1.2,0.7,
Bison Dele,83.1,6.9,4.7,4.0,2.4,2.3,1.8,0.3,0.2
