"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jalen Duren,,9.2,4.8,4.5,,,,,
Walker Kessler,81.9,7.1,5.4,4.1,,,,,
Gheorghe MureÈan,81.4,8.0,5.3,4.1,1.3,0.3,-0.1,,
Don Otten,81.4,8.5,5.8,4.9,1.7,,,,
Alperen ÅengÃ¼n,72.4,8.3,6.9,5.2,2.1,,,,
Robert Williams,72.4,9.9,5.3,3.8,2.0,1.3,1.2,0.4,
Nikola PekoviÄ,71.1,6.7,5.9,4.5,1.2,0.6,-0.1,,
Nic Claxton,67.9,9.2,6.7,4.3,3.5,1.9,0.5,,
Bob Rule,67.9,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0
Billy McGill,67.5,7.1,4.6,3.1,2.2,-0.1,,,
Skip Thoren,65.5,7.0,4.4,1.6,,,,,
