"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kirk Snyder,,2.2,1.4,1.1,-0.2
Jordan Goodwin,89.9,2.2,1.2,1.0,-0.1
Kenny Higgs,88.4,2.2,1.5,1.0,
Johnny High,88.0,2.5,1.2,1.1,-0.1
Steve Kramer,83.2,1.9,1.2,1.1,
Courtney Alexander,82.2,2.2,1.1,0.8,
Dirk Minniefield,81.8,1.9,1.1,1.1,
Shane Larkin,78.4,1.7,1.4,1.4,-0.1
Bo Lamar,78.0,2.5,1.5,1.0,0.5
Mike Davis,77.6,2.2,1.2,0.9,0.6
Bones Hyland,77.4,2.4,1.4,0.5,0.0
