"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Rodrigue Beaubois,,2.2,2.0,0.4,0.2
J.J. Barea,89.0,2.2,2.2,0.5,0.1
Fred Hoiberg,87.8,2.3,2.1,0.2,0.0
Marcus Banks,87.6,2.3,1.9,0.7,0.4
Ãlex Abrines,87.3,2.2,2.1,0.6,
Nikola JoviÄ,85.5,2.5,1.9,0.2,
Chris Quinn,83.8,2.6,2.1,0.6,0.1
Darrell Armstrong,83.3,2.5,1.8,0.1,0.1
Randy Brown,83.2,1.9,1.6,0.4,0.3
Anfernee Simons,82.2,1.9,1.8,0.2,0.1
James Robinson,82.1,2.3,1.9,1.2,0.2
