"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Thomas Bryant,,5.6,4.1,3.9,3.1,1.6,1.1,1.0,0.1
Dewayne Dedmon,90.5,5.2,4.0,3.7,2.4,1.7,1.1,0.6,0.1
Oliver Miller,90.5,5.3,3.8,3.4,3.1,1.8,1.6,0.9,0.0
Tim McCormick,87.6,6.0,4.6,3.9,3.8,2.0,1.1,0.2,-0.1
Randy Denton,86.2,5.5,4.3,3.9,3.1,3.0,0.4,,
Blair Rasmussen,85.8,5.2,4.2,3.3,3.0,1.8,1.7,0.0,-0.1
JaVale McGee,85.0,5.3,4.9,4.1,2.1,2.0,1.1,0.4,-0.1
Benoit Benjamin,84.9,5.4,5.1,4.0,3.0,2.2,2.0,1.1,0.9
Jason Collins,84.9,4.9,4.7,3.9,3.0,2.0,0.6,0.1,-0.2
Kevin Kunnert,84.7,5.1,4.8,4.1,2.6,2.3,1.9,1.0,0.2
Randy Breuer,84.5,5.1,4.5,3.0,2.4,2.0,1.0,0.9,0.3
