"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Jakob Poeltl,,6.9,6.0,5.7,5.6,5.5,5.1,4.0,3.8,1.6
Jim Chones,91.8,6.4,6.2,6.0,5.9,5.8,4.7,3.5,3.3,2.6
Theo Ratliff,90.9,6.8,5.6,5.4,5.2,5.2,4.0,3.9,3.8,0.0
Mason Plumlee,89.2,6.1,6.0,5.8,5.1,4.8,4.7,4.7,3.6,3.4
Mychal Thompson,89.1,8.2,6.9,6.1,5.4,5.3,4.6,4.4,3.7,2.6
Mark Eaton,88.5,6.6,5.5,5.4,5.3,4.1,4.0,3.7,3.6,0.8
Caldwell Jones,87.6,8.1,7.6,6.2,5.5,5.2,5.0,4.4,3.9,3.1
Myles Turner,87.0,8.0,6.3,5.8,5.4,4.7,4.2,3.3,3.1,3.1
Jim Fox,86.1,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.2,0.6
Red Rocha,85.7,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0
James Donaldson,85.5,10.4,6.2,5.8,5.7,5.6,5.1,5.0,4.4,2.5
