"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Ben Gordon,,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Flynn Robinson,89.4,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,,,
Scott Skiles,88.6,8.0,7.0,4.5,4.4,3.2,2.0,1.3,0.3,0.1,-0.2,
Butch Beard,87.7,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5,0.0,,
Michael Ray Richardson,86.9,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,
Steve Jones,86.2,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,,
Josh Hart,85.3,9.2,6.0,5.7,4.4,3.4,3.1,2.7,2.1,,,
Ronnie Brewer,85.0,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,,
Fred Scolari,84.8,8.5,5.6,5.4,4.5,3.4,3.1,2.7,1.2,-0.7,,
Bill Melchionni,83.0,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,,
Johnny Moore,82.3,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,,
