"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2000-01,22,CHH,NBA,C,10.0,0.0,110.0,0.571,3.4,1.0,0.679,0.143,0.107,0.071,0.0,0.571,0.632,0.5,0.333,0.5,,0.813,0.25,6.0,,0.0,0.0,
2001-02,23,CHH,NBA,C,8.0,0.0,168.0,0.55,3.6,1.0,0.625,0.25,0.1,0.025,0.0,0.55,0.64,0.4,0.5,0.0,,0.636,0.2,8.0,,0.0,0.0,
2002-03,24,NOH,NBA,C,6.0,6.0,188.0,0.449,3.7,1.0,0.612,0.224,0.143,0.02,0.0,0.449,0.533,0.364,0.143,1.0,,0.773,0.184,9.0,,0.0,0.0,
2003-04,25,NOH,NBA,C,7.0,7.0,239.0,0.418,5.1,0.985,0.478,0.328,0.104,0.075,0.015,0.424,0.563,0.273,0.286,0.4,0.0,0.679,0.134,8.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06,27,MIL,NBA,C,5.0,5.0,135.0,0.474,4.0,1.0,0.526,0.342,0.105,0.026,0.0,0.474,0.7,0.308,0.0,0.0,,0.833,0.158,6.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,30,MIA,NBA,C,6.0,0.0,47.0,0.333,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,,,,,1.0,0.333,1.0,,0.0,0.0,
2009-10,31,MIA,NBA,C,1.0,0.0,5.0,0.0,3.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,
2010-11,32,MIA,NBA,C,3.0,0.0,18.0,0.4,2.2,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,,,,,0.5,0.4,1.0,,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,46.0,18.0,910.0,0.47,3.3,0.996,0.582,0.263,0.108,0.043,0.004,0.472,0.585,0.328,0.24,0.4,0.0,0.734,0.181,39.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,32.0,1622.0,0.47,3.3,0.996,0.582,0.263,0.108,0.043,0.004,0.472,0.585,0.328,0.24,0.4,0.0,0.734,0.181,70.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,10.0,0.0,70.0,0.3,2.0,1.0,0.9,0.1,0.0,0.0,0.0,0.3,0.333,0.0,,,,0.667,0.3,2.0,,0.0,0.0,
CHH (2 Yrs),CHH (2 Yrs),CHH (2 Yrs),CHH (2 Yrs),,18.0,0.0,278.0,0.559,3.5,1.0,0.647,0.206,0.103,0.044,0.0,0.559,0.636,0.429,0.429,0.333,,0.711,0.221,14.0,,0.0,0.0,
NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),NOH (2 Yrs),,13.0,13.0,427.0,0.431,4.4,0.991,0.534,0.284,0.121,0.052,0.009,0.435,0.548,0.303,0.214,0.5,0.0,0.72,0.155,17.0,0.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,5.0,135.0,0.474,4.0,1.0,0.526,0.342,0.105,0.026,0.0,0.474,0.7,0.308,0.0,0.0,,0.833,0.158,6.0,,0.0,0.0,
