"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2014-15,23,CHI,NBA,SF,3.0,0.0,10.0,0.333,0.0,0.5,0.5,1.0,0.644,0.667,0.667,74.0,0.0,143.0,101.0,133.0,121.0,244.0,249.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,25,OKC,NBA,SF,5.0,0.0,66.0,0.5,0.4,0.538,0.694,,0.694,0.0,0.722,109.0,79.0,151.0,135.0,,126.0,0.0,228.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,27,IND,NBA,SF,3.0,0.0,29.0,0.2,0.667,0.0,0.2,0.5,0.255,0.4,0.7,43.0,128.0,0.0,38.0,65.0,46.0,155.0,195.0,
2019-20,28,IND,NBA,PF,4.0,0.0,54.0,0.267,0.4,0.2,0.333,,0.333,0.0,0.667,58.0,76.0,56.0,63.0,,59.0,0.0,174.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,32,IND,NBA,SF,10.0,0.0,64.0,0.455,0.667,0.375,0.591,,0.591,0.0,0.727,96.0,122.0,103.0,108.0,,102.0,0.0,184.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,0.0,223.0,0.368,0.471,0.325,0.482,0.667,0.495,0.105,0.702,80.0,90.0,91.0,92.0,88.0,88.0,40.0,201.0,
,,,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,17.0,0.0,147.0,0.306,0.545,0.2,0.375,0.5,0.384,0.111,0.694,66.0,103.0,55.0,70.0,65.0,67.0,43.0,183.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,5.0,0.0,66.0,0.5,0.4,0.538,0.694,,0.694,0.0,0.722,109.0,79.0,151.0,135.0,,126.0,0.0,228.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,3.0,0.0,10.0,0.333,0.0,0.5,0.5,1.0,0.644,0.667,0.667,74.0,0.0,143.0,101.0,133.0,121.0,244.0,249.0,
