"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Skal Labissi̬re,,1.4,1.4,1.3,0.3,0.0
Jerry Chambers,85.2,1.5,1.4,1.1,0.0,0.0
Major Jones,85.0,1.3,1.3,1.2,0.9,0.1
Brian Scalabrine,83.7,1.7,1.4,1.0,0.3,-0.1
Rafael Addison,83.2,1.5,1.5,0.9,0.4,0.2
Tim Kempton,81.9,1.3,1.3,1.0,0.1,-0.1
Terry Driscoll,80.8,1.7,1.7,1.5,0.3,0.0
Chris Johnson,78.2,1.4,1.1,0.8,0.2,
Thomas Robinson,77.7,1.6,1.5,0.9,0.6,-0.1
Anthony Randolph,77.4,1.6,1.5,1.1,0.5,0.5
Charles Pittman,77.3,1.7,1.5,0.9,0.1,
