Season,Team,Lg,Salary
2008-09,Philadelphia 76ers,NBA,"$1,542,600"
2009-10,Philadelphia 76ers,NBA,"$1,658,280"
2010-11,Philadelphia 76ers,NBA,"$1,773,960"
2011-12,Memphis Grizzlies,NBA,"$2,721,255"
2012-13,Cleveland Cavaliers,NBA,"$4,200,000"
2013-14,Golden State Warriors,NBA,"$3,500,000"
2014-15,Golden State Warriors,NBA,"$3,657,500"
2015-16,Golden State Warriors,NBA,"$3,815,000"
2016-17,Los Angeles Clippers,NBA,"$1,403,611"
2017-18,Orlando Magic,NBA,"$1,471,382"
Career,(may be incomplete),,"$25,743,588"
