"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jonathan Isaac,,4.0,3.6,3.4,2.5,0.3,0.2,,
Tom Abernethy,92.4,4.1,3.7,3.1,2.0,0.4,,,
Saddiq Bey,88.7,4.0,3.9,3.5,3.3,,,,
Jalen Smith,85.9,4.0,2.9,2.8,2.3,0.1,,,
Craig Smith,83.0,3.9,3.5,3.1,3.0,1.5,1.0,,
Lionel Simmons,82.9,4.3,3.8,3.8,2.7,1.1,0.9,0.3,
Isaiah Stewart,82.4,4.3,4.0,3.4,2.0,1.7,,,
Jared Sullinger,82.2,4.8,4.0,3.9,2.7,-0.1,,,
George Irvine,81.1,5.5,3.7,3.2,2.5,1.2,0.0,,
Jason Caffey,81.0,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3
Drew Eubanks,81.0,4.4,3.4,3.1,2.3,1.7,0.8,0.3,
