"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Jerian Grant,,3.3,2.5,1.7,0.8,0.0,,,
Roger Phegley,91.6,3.7,2.6,1.6,0.8,0.0,-0.1,,
Khalid Reeves,88.0,3.5,2.5,1.2,1.1,0.1,0.0,,
Moses Moody,86.7,3.5,2.4,1.3,1.3,,,,
Mike Butler,86.2,3.1,2.3,1.6,0.1,,,,
Dennis Hopson,84.7,3.1,2.1,1.7,0.5,-0.3,,,
Shabazz Napier,84.7,3.2,2.0,1.7,0.6,0.5,0.1,,
Corey Kispert,83.7,3.8,2.3,2.1,1.1,,,,
Yogi Ferrell,82.4,3.0,1.9,1.8,0.7,0.3,,,
Greg Minor,82.4,3.0,2.1,1.7,0.8,0.6,,,
Eldridge Recasner,82.2,2.9,2.6,2.5,0.8,0.1,0.0,0.0,0.0
