"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Josh Hart,,9.2,6.0,5.7,4.4,3.4,3.1,2.7,2.1,,,,
Fred Scolari,91.6,8.5,5.6,5.4,4.5,3.4,3.1,2.7,1.2,-0.7,,,
Butch Beard,87.5,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5,0.0,,,
Kyle Macy,86.4,9.2,6.4,5.0,4.6,4.5,3.9,2.4,,,,,
Chuck Williams,85.9,10.0,6.1,4.7,3.8,3.2,3.0,1.3,0.6,,,,
Flynn Robinson,85.7,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,,,,
Ben Gordon,85.3,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6,
Dave Twardzik,85.3,7.5,5.5,5.1,5.1,3.7,3.0,2.4,1.1,,,,
Michael Ray Richardson,84.8,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,,
Monta Ellis,84.7,9.0,6.0,4.9,4.6,4.3,4.0,3.6,2.6,1.3,1.1,0.5,0.2
Phil Smith,84.2,9.4,7.0,6.3,5.2,4.8,2.9,2.2,1.7,1.6,,,
