"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Josh Hart,,9.2,6.0,5.7,4.4,3.4,3.1,2.7,2.1
Fred Scolari,93.0,8.5,5.6,5.4,4.5,3.4,3.1,2.7,1.2
Vinny Del Negro,91.7,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2
Kendall Gill,91.4,8.8,6.7,5.9,4.7,4.6,3.2,2.9,1.8
Ron Harper,91.3,10.2,6.0,5.6,4.2,3.9,3.5,2.9,0.9
Devin Harris,87.9,7.5,6.5,5.6,4.2,4.2,3.7,2.7,2.7
Mike Newlin,87.8,8.5,5.9,5.8,5.2,4.7,2.9,1.8,1.6
Wesley Person,87.7,10.3,6.9,5.2,4.0,3.8,3.7,2.6,1.2
Butch Beard,87.5,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5
Ben Gordon,87.3,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7
Eddie Johnson,87.1,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7
