"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Zach LaVine,,7.1,5.9,5.8,5.1,4.0,3.0,2.8,2.6,1.5,0.3,-0.7
D.J. Augustin,90.4,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5
Bojan BogdanoviÄ,90.3,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,
Clem Haskins,88.8,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1.0,,
K.C. Jones,88.4,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,,
Kevin Porter,88.2,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,
Craig Ehlo,87.8,6.5,6.2,5.9,4.6,3.8,3.4,3.1,1.2,0.5,0.2,0.0
Ricky Rubio,86.5,6.1,5.9,5.8,5.3,4.9,3.7,3.1,3.0,2.0,1.3,0.5
Malcolm Brogdon,86.2,6.5,5.8,4.2,4.1,4.0,2.7,2.7,2.6,0.7,,
Reggie Jackson,86.1,6.9,5.0,4.9,4.9,3.7,2.5,2.0,1.9,1.1,0.4,0.1
Eddie Johnson,86.1,8.2,6.9,6.3,4.8,4.2,3.5,3.0,1.7,1.5,0.8,
