"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Nate Wolters,,1.2,-0.1,-0.2
Charles Smith,86.0,1.1,0.0,-0.2
Mychal Mulder,78.2,1.2,0.1,-0.2
Willie Jones,74.1,1.3,-0.1,-0.1
Nick Jones,71.7,1.3,0.2,-0.2
Bernie Williams,68.3,1.1,0.1,-0.3
Ray Corley,67.6,1.2,0.0,-0.4
Greg Grant,64.2,1.4,0.0,-0.1
Orlando Johnson,62.3,1.5,0.1,-0.2
Seth Curry,62.0,1.4,0.0,0.0
Mitchell Butler,61.8,1.1,0.3,-0.2
