Season,Team,Lg,Salary
2013-14,Milwaukee Bucks,NBA,"$500,000"
2014-15,Milwaukee Bucks,NBA,"$816,482"
2014-15,New Orleans Pelicans,NBA,"$96,056"
2016-17,Denver Nuggets,NBA,"$50,000"
2017-18,Utah Jazz,NBA,< $Minimum
Career,(may be incomplete),,"$1,462,538"
