"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Alperen ÅengÃ¼n,,8.3,6.9,5.2,2.1
Neal Walk,93.0,7.1,6.8,5.1,2.1
Jamaal Magloire,91.9,7.6,6.7,5.7,2.6
Deandre Ayton,91.6,8.4,7.3,5.8,3.1
Vlade Divac,91.5,8.3,5.6,5.0,1.8
Don Otten,90.8,8.5,5.8,4.9,1.7
Tree Rollins,90.7,9.2,6.4,5.0,2.6
Joel Embiid,90.5,8.7,6.2,6.0,1.9
Myles Turner,89.7,8.0,6.3,4.7,3.1
Tom Boerwinkle,89.5,9.0,7.4,4.4,2.6
Mitchell Robinson,89.5,8.5,6.8,6.1,3.4
