"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Alize Johnson,,0.9,0.3,0.1,0.0,-0.1
Bob Peterson,83.5,0.9,0.4,0.2,,
David Thirdkill,78.6,1.0,0.3,0.0,0.0,-0.1
Jamie Watson,73.9,0.8,0.3,0.1,0.0,
Josh Minott,73.5,0.9,0.4,0.3,,
Kenny Dennard,72.5,1.1,0.3,0.1,,
Jackie Moore,71.4,0.9,0.5,0.3,,
Jim Tucker,71.0,1.0,0.3,0.0,,
Winston Bennett,70.6,1.1,0.3,0.2,,
Bob Arnzen,69.5,1.0,0.3,0.3,-0.1,
Scott Roth,69.5,0.7,0.3,0.1,,
