"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2007-08,23,ATL,NBA,C,7.0,0.0,105.0,0.28,9.2,0.96,0.4,0.12,0.16,0.28,0.04,0.292,0.3,0.333,0.0,0.429,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,
2008-09,24,ATL,NBA,C,11.0,1.0,260.0,0.415,4.6,1.0,0.623,0.17,0.113,0.094,0.0,0.415,0.545,0.222,0.167,0.2,,0.636,0.075,4.0,,,0.0,0.0,
2009-10,25,ATL,NBA,C,11.0,0.0,161.0,0.514,6.9,1.0,0.486,0.171,0.143,0.2,0.0,0.514,0.706,0.333,0.6,0.143,,0.556,0.057,2.0,,,0.0,0.0,
2010-11,26,ATL,NBA,C,11.0,0.0,195.0,0.478,5.6,1.0,0.522,0.217,0.13,0.13,0.0,0.478,0.583,0.2,0.667,0.333,,0.636,0.043,1.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,30,MIL,NBA,C,6.0,6.0,129.0,0.4,10.8,1.0,0.325,0.025,0.35,0.3,0.0,0.4,0.231,0.0,0.571,0.417,,0.688,0.0,0.0,,,0.0,0.0,
2015-16,31,DAL,NBA,C,5.0,4.0,112.0,0.375,5.5,1.0,0.458,0.375,0.042,0.125,0.0,0.375,0.455,0.333,0.0,0.333,,0.778,0.042,1.0,,,0.0,0.0,
2016-17,32,GSW,NBA,C,15.0,15.0,212.0,0.533,6.6,0.983,0.5,0.183,0.183,0.117,0.017,0.542,0.8,0.364,0.273,0.143,0.0,0.813,0.05,3.0,1.0,0.0,0.0,0.0,
2017-18,33,GSW,NBA,C,7.0,0.0,26.0,0.571,3.9,1.0,0.714,0.143,0.0,0.143,0.0,0.571,0.6,1.0,,0.0,,0.25,0.0,0.0,,,0.0,0.0,
2018-19,34,DET,NBA,C,2.0,0.0,22.0,0.333,14.2,1.0,0.0,0.167,0.5,0.333,0.0,0.333,,0.0,0.667,0.0,,1.0,0.0,0.0,,,0.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,75.0,26.0,1222.0,0.443,7.5,0.993,0.48,0.168,0.172,0.172,0.007,0.446,0.573,0.304,0.404,0.277,0.0,0.702,0.04,11.0,0.5,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,28.0,1336.0,0.443,7.5,0.993,0.48,0.168,0.172,0.172,0.007,0.446,0.573,0.304,0.404,0.277,0.0,0.702,0.04,12.0,0.5,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),,40.0,1.0,721.0,0.426,6.6,0.993,0.529,0.169,0.132,0.162,0.007,0.43,0.556,0.261,0.333,0.273,0.0,0.655,0.051,7.0,0.0,,0.0,0.0,
GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),,22.0,15.0,238.0,0.537,5.2,0.985,0.522,0.179,0.164,0.119,0.015,0.545,0.771,0.417,0.273,0.125,0.0,0.75,0.045,3.0,1.0,0.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,6.0,6.0,129.0,0.4,10.8,1.0,0.325,0.025,0.35,0.3,0.0,0.4,0.231,0.0,0.571,0.417,,0.688,0.0,0.0,,,0.0,0.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,5.0,4.0,112.0,0.375,5.5,1.0,0.458,0.375,0.042,0.125,0.0,0.375,0.455,0.333,0.0,0.333,,0.778,0.042,1.0,,,0.0,0.0,
DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,2.0,0.0,22.0,0.333,14.2,1.0,0.0,0.167,0.5,0.333,0.0,0.333,,0.0,0.667,0.0,,1.0,0.0,0.0,,,0.0,0.0,
