"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Markel Brown,,0.6,0.5,0.0
Chandler Hutchison,90.9,0.7,0.6,-0.1
Shabazz Napier,90.4,0.6,0.5,0.1
Tracy Moore,88.6,0.6,0.5,0.1
Negele Knight,84.5,0.6,0.5,0.1
Jeff Dowtin Jr.,83.7,0.6,0.4,0.0
Tyler Dorsey,83.0,0.6,0.4,0.1
Chasson Randle,81.0,0.7,0.6,0.0
Jared Butler,80.9,0.6,0.4,0.1
Acie Law,79.2,0.7,0.6,-0.1
Vit Krejci,78.3,0.6,0.6,0.1
