"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Markel Brown,,0.6,0.5,0.0,
Chandler Hutchison,87.5,0.7,0.6,0.0,-0.1
Tyler Dorsey,83.0,0.6,0.4,0.1,
Chasson Randle,79.8,0.7,0.6,0.0,0.0
K.J. McDaniels,73.9,0.6,0.5,0.2,
MarJon Beauchamp,73.5,0.7,0.4,0.1,
Derrick Walton,71.8,0.6,0.4,-0.2,
Stan Pietkiewicz,69.4,1.0,0.6,0.0,
R.J. Hampton,69.2,0.7,0.4,-0.1,-0.2
Jared Rhoden,68.7,0.6,0.3,0.1,
Zoran PlaniniÄ,68.2,0.8,0.7,0.1,
