Season,Team,Lg,Salary
2013-14,Utah Jazz,NBA,"$1,078,800"
2014-15,Utah Jazz,NBA,"$1,127,400"
2015-16,Utah Jazz,NBA,"$1,175,880"
2016-17,Utah Jazz,NBA,"$2,121,288"
2017-18,Utah Jazz,NBA,"$21,974,719"
2018-19,Utah Jazz,NBA,"$23,241,573"
2019-20,Utah Jazz,NBA,"$25,008,427"
2020-21,Utah Jazz,NBA,"$27,525,281"
2021-22,Utah Jazz,NBA,"$35,344,828"
2022-23,Minnesota Timberwolves,NBA,"$38,172,414"
2023-24,Minnesota Timberwolves,NBA,"$41,000,000"
2024-25,Minnesota Timberwolves,NBA,"$43,827,586"
Career,(may be incomplete),,"$261,598,196"
