"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Rudy Gobert,,14.4,14.3,11.7,11.6,11.3,10.7,10.1,9.3,8.1,7.8,6.4,0.4
Walt Bellamy,91.8,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,4.9
Moses Malone,90.4,15.4,15.1,14.1,13.7,11.9,11.9,10.2,9.5,8.9,8.7,6.1,1.9
Patrick Ewing,90.3,13.5,13.1,13.0,10.9,10.6,10.0,9.8,9.6,8.1,6.8,3.5,3.1
Pau Gasol,88.7,14.7,13.9,12.0,11.0,8.5,8.4,8.3,8.1,7.6,6.9,6.8,3.7
Dwight Howard,88.5,14.4,13.8,13.2,12.9,9.7,8.6,8.0,7.7,7.6,7.3,6.6,3.6
Hakeem Olajuwon,88.4,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,8.6
Bob Lanier,86.6,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.6,5.9,5.2
Zelmo Beaty,85.4,16.0,15.1,11.8,10.8,10.3,9.0,8.4,7.7,5.2,4.8,4.5,2.3
Dan Issel,85.3,15.8,13.8,13.5,12.5,11.5,11.1,10.9,10.7,10.5,9.8,9.8,9.3
Wes Unseld,83.5,11.1,10.8,10.7,10.6,10.0,9.5,8.7,8.4,8.3,6.8,6.2,3.6
