"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jalen McDaniels,,2.7,1.7,1.2,0.5,0.0,-0.8,
Cheick Diallo,80.9,2.6,1.9,1.3,0.5,0.1,,
James Hardy,78.5,2.5,1.8,1.3,0.7,,,
Brady Walker,76.4,2.8,1.9,1.2,1.0,,,
George Lee,76.2,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Austin Daye,73.8,2.1,1.6,1.3,0.1,0.0,-0.6,
Carey Scurry,73.5,2.6,1.8,0.9,,,,
Al Eberhard,73.4,2.6,1.8,0.9,0.0,,,
Bill Hewitt,73.1,2.4,1.7,0.8,0.6,-0.1,-0.2,
DerMarr Johnson,73.0,3.2,1.7,1.3,0.4,0.1,0.0,-0.3
Simmie Hill,72.6,3.1,1.6,1.2,1.0,,,
