"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Mario Chalmers,,5.2,5.2,4.8,4.3,3.8,2.9,2.8,2.7,0.6
Sherman Douglas,93.0,5.4,4.6,4.4,4.2,4.0,3.3,2.7,2.6,1.0
Jarrett Jack,92.6,5.6,4.8,4.8,4.1,3.8,3.2,2.4,2.3,1.2
Kentavious Caldwell-Pope,92.5,5.3,5.3,4.5,4.2,4.0,3.7,2.8,2.8,1.8
Allen Leavell,92.5,5.1,4.8,4.3,4.0,3.8,3.0,2.4,1.9,0.6
Greg Anthony,92.4,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2
Spud Webb,92.0,5.4,5.1,4.5,4.1,3.9,3.5,2.3,2.2,1.2
Patrick Beverley,91.0,5.3,4.8,4.4,4.2,3.6,3.5,2.2,2.1,0.4
Marcus Smart,89.9,5.6,5.3,4.5,3.7,3.3,3.2,2.9,2.9,1.9
Ricky Sobers,89.6,5.3,4.8,4.3,3.8,2.9,2.8,2.4,2.4,1.0
John Paxson,89.2,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,0.6
