"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2001-02,23,PHI,NBA,PG,5.0,0.0,49.0,0.333,16.0,0.917,0.083,0.0,0.333,0.5,0.083,0.364,0.0,,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,
2002-03,24,SAS,NBA,PG,24.0,0.0,326.0,0.438,10.7,1.0,0.295,0.171,0.124,0.41,0.0,0.438,0.548,0.278,0.231,0.488,,0.522,0.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,30,ATL,NBA,PG,1.0,0.0,3.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,30.0,0.0,378.0,0.427,13.3,0.991,0.274,0.154,0.145,0.419,0.009,0.431,0.531,0.278,0.235,0.49,0.0,0.52,0.0,0.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,1033.0,0.427,,0.991,0.274,0.154,0.145,0.419,0.009,0.431,0.531,0.278,0.235,0.49,0.0,0.52,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,24.0,0.0,326.0,0.438,10.7,1.0,0.295,0.171,0.124,0.41,0.0,0.438,0.548,0.278,0.231,0.488,,0.522,0.0,0.0,,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,5.0,0.0,49.0,0.333,16.0,0.917,0.083,0.0,0.333,0.5,0.083,0.364,0.0,,0.25,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,3.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
