Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2014-15,24.0,GSW,NBA,SG,1,1,19:43,2,11,0.182,1,9,0.111,2,2,1.0,1,4,6,0,0,0,0,7
2015-16,25.0,GSW,NBA,SG,1,0,21:05,3,11,0.273,3,10,0.3,0,0,,1,2,2,1,0,0,0,9
2016-17,26.0,GSW,NBA,SG,1,0,17:37,5,9,0.556,2,6,0.333,0,0,,0,2,5,0,0,0,1,12
2017-18,27.0,GSW,NBA,SG,1,0,21:25,5,11,0.455,5,10,0.5,0,0,,1,4,0,0,0,1,0,15
2018-19,28.0,GSW,NBA,SG,1,0,22:18,7,16,0.438,6,12,0.5,0,0,,1,8,4,1,0,0,2,20
Career,,,NBA,,5,1,102,22,58,0.379,17,47,0.362,2,2,1.0,4,20,17,2,0,1,3,63
