"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
LaMelo Ball,,5.8,2.8,2.0,1.8,1.1
Brian Shaw,94.6,5.9,3.2,2.2,1.8,1.0
Evan Fournier,94.4,5.7,2.8,2.1,1.4,1.0
Buddy Hield,89.5,5.9,3.0,2.8,2.2,1.3
Deni Avdija,89.3,5.6,3.2,2.4,2.3,1.2
Al Skinner,88.4,4.9,3.3,2.1,1.8,1.2
Aaron McKie,88.2,5.3,3.5,2.0,1.6,1.4
Ray Lumpp,86.5,6.7,3.3,2.0,1.9,1.7
Gerald Henderson,86.1,5.3,3.6,2.3,1.7,1.3
Tyler Johnson,85.3,5.8,4.2,2.3,2.0,0.8
Nate Robinson,84.7,5.9,3.2,3.2,2.2,1.5
