"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Brandon Roy,,13.5,9.1,8.0,4.8,2.1,0.0
James Silas,86.2,13.1,9.8,7.9,7.4,0.7,0.6
Mookie Blaylock,85.7,10.2,9.4,7.0,4.9,2.1,-0.3
Jalen Brunson,84.6,11.2,8.7,7.5,5.1,2.6,2.1
Richie Guerin,84.3,12.1,8.4,7.4,5.4,3.5,1.7
Michael Redd,81.6,10.8,9.7,8.0,6.2,4.6,-0.1
Tyrese Haliburton,81.4,10.4,9.0,7.6,7.0,3.5,
Derrick Rose,81.2,13.1,6.0,6.0,4.9,1.2,-0.2
Kenny Anderson,80.7,12.4,7.7,7.5,6.8,4.4,0.5
Terrell Brandon,80.7,12.7,10.8,5.6,3.9,2.9,0.9
Anfernee Hardaway,80.5,14.4,10.7,8.1,7.1,5.0,1.1
