"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Gary Trent Jr.,,5.6,4.5,3.3,2.5,1.7,1.7,-0.2,,
George Senesky,86.9,6.2,4.4,3.6,2.6,2.3,2.0,0.5,0.3,
Ron Brewer,85.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,
Coby White,85.6,4.7,4.5,3.1,2.4,2.4,0.9,,,
Isaiah Rider,85.3,5.8,5.0,3.4,2.5,1.9,1.7,1.6,0.8,0.2
Paul Walther,84.9,6.6,5.2,3.1,2.2,2.0,1.3,,,
O.J. Mayo,84.0,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,
Miles Bridges,83.9,7.2,4.2,3.2,2.9,2.2,1.6,,,
Fred Jones,83.3,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,
Vincent Askew,83.2,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2
Bob Warren,83.1,4.9,4.8,4.0,2.3,1.6,1.6,0.9,0.6,
