"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Charles Bassey,,1.3,1.1,0.8,0.7,,,,,,
Dick Cunningham,84.6,1.2,1.0,1.0,1.0,0.0,0.0,0.0,,,
Eric Fernsten,77.2,1.2,1.0,0.5,0.5,0.2,0.0,,,,
Jawann Oldham,77.2,1.3,1.2,1.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0
Rickey Brown,72.0,1.8,0.9,0.9,0.7,0.4,,,,,
Walt Davis,71.6,1.6,0.9,0.9,0.8,0.6,,,,,
Jelani McCoy,70.8,1.5,1.4,1.1,1.0,0.1,0.0,0.0,0.0,,
Jerome James,70.5,1.2,0.9,0.8,0.7,0.1,0.0,-0.1,-0.2,-0.5,
Stuart Gray,70.4,1.1,0.9,0.7,0.6,0.4,0.0,-0.4,,,
Sandro Mamukelashvili,68.5,2.2,1.1,1.0,0.9,,,,,,
Earl Williams,67.8,1.3,1.0,0.4,0.0,,,,,,
