"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Justin Jackson,,2.9,1.2,1.0,0.2,0.1,0.0,0.0
A.J. Green,88.8,2.8,1.1,0.8,,,,
Jaylen Nowell,87.6,2.8,1.2,0.7,0.2,0.1,-0.2,
Harold Ellis,85.3,2.8,0.9,0.9,,,,
Dante Exum,84.4,2.9,1.2,1.0,0.7,0.4,-0.1,-0.1
Robert Smith,84.2,2.9,1.4,0.8,0.6,0.0,0.0,0.0
Davion Mitchell,84.1,3.0,1.5,1.3,0.1,,,
Ralph Johnson,83.8,2.9,1.6,0.8,0.0,,,
Terence Davis,83.5,3.1,0.9,0.8,0.5,0.0,,
Shaedon Sharpe,83.5,3.0,1.2,0.5,,,,
Pete Myers,83.4,3.0,1.3,0.5,0.3,0.0,0.0,-0.1
