Season,Team,Lg,Salary
2017-18,Sacramento Kings,NBA,"$2,365,560"
2018-19,Dallas Mavericks,NBA,"$2,807,880"
2019-20,Dallas Mavericks,NBA,"$3,280,920"
2020-21,Oklahoma City Thunder,NBA,"$5,029,650"
2020-21,Milwaukee Bucks,NBA,< $Minimum
2021-22,Phoenix Suns,NBA,"$205,662"
2021-22,Boston Celtics,NBA,"$102,831"
2022-23,Oklahoma City Thunder,NBA,"$1,836,090"
2023-24,Minnesota Timberwolves,NBA,"$116,075"
Career,(may be incomplete),,"$15,744,668"
