Season,Team,Lg,Salary
2010-11,Utah Jazz,NBA,"$4,133,280"
2011-12,Utah Jazz,NBA,"$4,443,360"
2012-13,Utah Jazz,NBA,"$4,753,320"
2013-14,Utah Jazz,NBA,"$6,008,196"
2014-15,Utah Jazz,NBA,"$12,833,333"
2015-16,Utah Jazz,NBA,"$11,933,333"
2016-17,Utah Jazz,NBA,"$11,050,000"
2017-18,Utah Jazz,NBA,"$12,000,000"
2018-19,Utah Jazz,NBA,"$16,000,000"
2019-20,New Orleans Pelicans,NBA,"$17,650,000"
2020-21,Utah Jazz,NBA,"$9,258,000"
2021-22,Oklahoma City Thunder,NBA,"$9,720,900"
2022-23,Houston Rockets,NBA,"$10,183,800"
2022-23,Atlanta Hawks,NBA,"$105,522"
Career,(may be incomplete),,"$130,073,044"
