"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Ruben Boumtje-Boumtje,,0.2,0.0,0.0
Vernon Carey Jr.,64.7,0.2,0.1,0.0
Chris Engler,59.9,0.2,0.0,0.0
Joe Cooper,38.8,0.2,0.1,0.0
Robert Werdann,38.4,0.2,0.0,-0.1
Gary Leonard,34.4,0.1,0.0,0.0
Dan O'Sullivan,25.8,0.1,0.1,0.0
Rich King,25.5,0.2,0.1,0.0
Arinze Onuaku,22.2,0.3,0.0,0.0
Mouhamed Sene,17.9,0.2,0.2,0.0
Coby Dietrick,15.6,0.3,0.1,0.0
