Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2001-02,23,POR,NBA,C,33,1,245,13,32,0.406,0,0,13,32,0.406,0.406,13,25,0.52,21,34,55,4,3,16,14,38,39,0,
2002-03,24,POR,NBA,C,2,0,5,0,1,0.0,0,0,0,1,0.0,0.0,0,0,,1,0,1,1,1,0,0,0,0,0,
2003-04,25,POR,NBA,C,9,0,26,1,5,0.2,0,0,1,5,0.2,0.2,2,2,1.0,0,1,1,1,0,1,0,2,4,0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,44,1,276,14,38,0.368,0,0,14,38,0.368,0.368,15,27,0.556,22,35,57,6,4,17,14,40,43,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,2,514,26,71,0.368,0,0,26,71,0.368,0.368,28,50,0.556,41,65,106,11,7,32,26,75,80,0,
