"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Josh Green,,2.6,2.4,2.2,1.5,0.5
Sedale Threatt,91.7,2.7,2.5,2.1,1.3,0.1
Trey Burke,89.0,2.4,2.4,2.1,0.9,0.5
Shake Milton,88.8,2.9,2.8,2.1,1.7,0.3
Alex Caruso,88.7,2.4,2.3,2.0,1.0,0.5
Haywoode Workman,88.5,2.8,2.5,1.9,1.4,0.1
Mike Bratz,88.4,2.7,2.1,1.7,1.5,0.4
Tony Snell,87.6,3.4,2.4,2.4,1.6,0.4
Greg Buckner,86.8,3.1,2.3,2.0,1.8,0.3
Randy Foye,86.4,3.1,2.3,2.2,1.7,1.1
Earl Watson,85.9,2.7,2.3,2.3,1.8,1.5
