"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Josh Green,,2.6,2.4,2.2,1.5,0.5,,,
Damion Lee,85.3,2.7,2.7,2.6,1.7,0.7,0.4,-0.1,
Gordan GiriÄek,82.5,2.4,1.9,1.8,1.6,0.5,-0.2,,
Jerry Fleishman,81.3,2.2,2.1,1.6,1.3,0.6,,,
Sonny Hertzberg,81.1,4.0,2.5,2.3,1.4,0.7,,,
Garrison Mathews,81.1,2.8,2.3,1.6,1.5,1.0,0.6,,
Eldridge Recasner,80.5,2.9,2.6,2.5,0.8,0.1,0.0,0.0,0.0
Haywoode Workman,80.4,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1
Aaron Holiday,79.7,2.5,2.1,2.0,1.5,0.9,0.9,0.2,
Lorenzo Romar,79.3,2.7,2.6,2.4,0.5,-0.1,,,
Bill Gabor,79.2,3.5,2.9,2.8,1.5,0.5,0.0,,
