"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jeff Withey,,2.3,1.8,1.8,0.8,0.0,
Luther Rackley,81.4,1.9,1.8,1.3,0.8,0.1,
Predrag Drobnjak,79.7,2.4,1.6,1.0,0.7,,
Bob Christian,79.3,2.4,1.9,0.9,0.5,0.0,
Gene Wiley,78.8,2.8,2.4,1.8,1.3,-0.1,
Jock Landale,77.6,2.7,2.3,1.7,1.5,,
George Nostrand,77.0,2.0,2.0,1.3,0.4,,
Tarik Black,76.7,3.1,2.4,1.5,0.7,,
Greg Stiemsma,76.5,2.7,1.7,1.5,0.1,,
Jeff Wilkins,75.6,2.4,2.3,2.3,1.0,0.5,0.3
Tom LaGarde,75.5,2.7,2.2,1.7,0.4,0.0,-0.5
