"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Frank Ntilikina,,0.9,0.9,0.5,-0.1,-0.1,-0.8,-0.9
Dennis Smith Jr.,-8.2,1.8,1.1,0.6,0.4,0.0,-0.7,-0.9
Dalen Terry,-8.3,1.1,0.8,0.5,,,,
Morlon Wiley,-9.1,1.1,0.9,0.5,0.2,0.1,0.1,-0.2
Damyean Dotson,-16.6,1.5,0.9,0.6,0.0,0.0,,
Norris Cole,-17.1,1.4,1.2,0.6,0.0,-0.1,-0.1,
Steve Harris,-18.8,1.3,1.2,0.8,0.0,-0.1,,
Antoine Wright,-19.0,1.4,1.2,0.8,0.3,-0.1,-0.5,
Chris Smith,-19.6,1.2,1.1,0.9,,,,
Steve Alford,-20.5,1.4,0.9,0.6,0.3,,,
Richie Frahm,-21.3,1.5,1.0,0.5,-0.2,,,
