"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2014-15,20,HOU,NBA,C,17.0,0.0,127.0,0.677,1.6,1.0,0.839,0.161,0.0,0.0,0.0,0.677,0.769,0.2,,,,0.857,0.419,11.0,,0.0,0.0,
2015-16,21,HOU,NBA,C,5.0,0.0,43.0,0.333,2.8,1.0,0.556,0.444,0.0,0.0,0.0,0.333,0.4,0.25,,,,1.0,0.0,0.0,,0.0,0.0,
2016-17,22,HOU,NBA,C,11.0,11.0,286.0,0.561,3.1,0.988,0.805,0.146,0.012,0.024,0.012,0.568,0.652,0.25,0.0,0.0,0.0,0.891,0.256,19.0,0.0,1.0,0.0,
2017-18,23,HOU,NBA,C,17.0,17.0,520.0,0.66,1.6,1.0,0.778,0.215,0.0,0.007,0.0,0.66,0.768,0.29,,0.0,,0.832,0.354,50.0,,0.0,0.0,
2018-19,24,HOU,NBA,C,11.0,11.0,331.0,0.561,2.3,1.0,0.707,0.293,0.0,0.0,0.0,0.561,0.724,0.167,,,,0.804,0.354,27.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,26,ATL,NBA,C,18.0,18.0,569.0,0.603,1.7,1.0,0.779,0.221,0.0,0.0,0.0,0.603,0.679,0.333,,,,0.78,0.39,48.0,,0.0,0.0,
2021-22,27,ATL,NBA,C,2.0,2.0,40.0,0.333,3.1,1.0,0.667,0.333,0.0,0.0,0.0,0.333,0.25,0.5,,,,0.5,0.167,1.0,,0.0,0.0,
2022-23,28,ATL,NBA,C,6.0,6.0,151.0,0.605,2.7,1.0,0.684,0.289,0.026,0.0,0.0,0.605,0.654,0.545,0.0,,,0.826,0.289,11.0,,0.0,0.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,87.0,65.0,2067.0,0.602,2.4,0.998,0.763,0.225,0.004,0.006,0.002,0.603,0.702,0.294,0.0,0.0,0.0,0.824,0.339,167.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,61.0,1948.0,0.602,2.4,0.998,0.763,0.225,0.004,0.006,0.002,0.603,0.702,0.294,0.0,0.0,0.0,0.824,0.339,157.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOU (5 Yrs),HOU (5 Yrs),HOU (5 Yrs),HOU (5 Yrs),,61.0,39.0,1307.0,0.606,2.3,0.997,0.767,0.218,0.003,0.009,0.003,0.608,0.723,0.237,0.0,0.0,0.0,0.844,0.328,107.0,0.0,1.0,0.0,
ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),ATL (3 Yrs),,26.0,26.0,760.0,0.594,2.5,1.0,0.756,0.239,0.006,0.0,0.0,0.594,0.662,0.395,0.0,,,0.785,0.361,60.0,,0.0,0.0,
