"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Clint Capela,,10.8,10.2,8.3,8.2,7.2,6.3,5.9,4.9,4.4,3.2,0.0
Andre Drummond,90.8,10.3,10.0,9.9,7.7,7.4,6.7,5.1,4.5,4.2,2.8,2.0
Marc Gasol,89.5,11.5,10.2,8.4,8.2,7.9,7.7,6.4,6.0,5.6,4.0,3.7
Bill Cartwright,88.9,10.1,10.0,9.8,9.7,6.4,5.8,5.0,4.5,4.2,2.1,0.0
Al Horford,88.5,10.9,10.1,9.4,8.8,8.7,7.8,6.8,6.3,5.5,2.8,1.3
Brad Miller,88.2,10.0,9.6,9.1,8.6,8.3,6.5,5.1,3.8,3.4,2.7,2.1
Clyde Lovellette,87.8,10.1,9.0,8.5,8.5,8.2,8.1,6.5,5.2,3.6,1.6,1.3
Dave Robisch,87.8,10.1,9.1,8.6,8.5,7.8,5.2,5.0,4.2,2.3,2.3,0.7
Nate Thurmond,87.7,9.9,9.0,7.2,7.2,6.5,6.1,6.0,5.2,4.3,3.7,3.5
Billy Paultz,87.4,9.0,8.9,8.7,8.6,7.0,5.6,5.3,5.1,5.0,4.0,2.7
Zydrunas Ilgauskas,86.6,9.4,8.7,8.1,7.8,6.6,6.1,5.6,5.0,2.5,0.7,0.5
