"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Andrew Bynum,,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,
Deandre Ayton,86.0,8.4,7.3,6.2,5.8,3.9,3.1,2.8,,,,
Mitchell Robinson,84.4,8.5,6.8,6.5,6.1,3.4,2.5,1.3,,,,
Chuck Share,83.3,8.6,8.1,6.7,4.7,4.2,4.0,3.3,1.3,1.0,,
Elmore Smith,83.0,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,
Emeka Okafor,81.6,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0,
Ray Felix,80.9,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8,,
Daniel Gafford,80.8,7.8,6.1,6.0,5.9,3.5,1.9,,,,,
DeMarcus Cousins,79.5,7.9,7.6,6.0,5.7,4.7,4.4,4.2,2.4,1.6,1.2,1.1
Tom Boerwinkle,77.9,9.0,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,
Arvydas Sabonis,77.9,9.7,8.4,7.5,7.1,5.8,4.9,3.7,,,,
