"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Nikola PekoviÄ,,6.7,5.9,4.5,1.2,0.6,-0.1,,,
Gheorghe MureÈan,85.8,8.0,5.3,4.1,1.3,0.3,-0.1,,,
Walker Kessler,83.4,7.1,5.4,4.1,,,,,,
Don Otten,82.3,8.5,5.8,4.9,1.7,,,,,
Ralph Sampson,80.9,6.2,6.0,5.0,2.2,1.1,0.6,-0.2,-0.3,-0.6
Bob Rule,80.5,7.8,6.4,5.2,2.4,0.5,0.3,0.1,0.0,
Luke Kornet,78.7,7.0,5.1,3.3,1.4,1.1,0.7,0.5,0.4,
Alperen ÅengÃ¼n,76.3,8.3,6.9,5.2,2.1,,,,,
Billy McGill,74.4,7.1,4.6,3.1,2.2,-0.1,,,,
Gene Moore,73.8,6.8,5.7,5.0,4.5,1.9,0.8,0.0,,
Bob Houbregs,73.6,6.9,4.5,2.8,2.2,0.2,,,,
