"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Hamidou Diallo,,2.1,1.6,1.3,0.8,0.4,0.0
Joe Hassett,93.5,2.0,1.6,1.4,0.9,0.5,0.0
Dave Wohl,89.4,2.1,1.7,1.4,1.0,0.2,0.0
Sterling Brown,89.2,2.1,1.8,1.1,0.8,0.7,0.0
Juan Dixon,87.9,2.0,1.7,1.4,1.2,0.4,0.1
Mike Barr,85.5,2.7,1.7,1.4,0.7,0.4,
John Wetzel,85.1,2.0,1.5,1.1,0.7,0.5,0.5
Elston Turner,83.6,2.3,1.4,1.3,1.2,0.3,0.1
Nelson Bobb,83.2,2.0,1.8,1.2,1.1,,
Al Bianchi,83.1,2.4,1.8,1.5,0.8,0.8,-0.1
Shaun Livingston,82.4,2.4,1.9,1.3,1.2,0.4,0.1
