"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Chase Budinger,,3.4,3.1,3.0,1.4,1.3,0.9,0.7,,,,
Toby Kimball,87.5,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0,,
Walter McCarty,84.8,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0.0,0.0,-0.2,
Cedi Osman,84.6,3.3,2.9,1.9,1.6,1.5,0.9,0.5,,,,
Duane Ferrell,84.5,3.5,3.2,2.8,1.9,1.9,1.2,1.0,0.4,0.0,-0.1,-0.2
Solomon Hill,83.5,3.5,2.7,2.1,1.4,1.3,0.5,0.4,0.0,-0.1,,
George Johnson,83.5,3.8,3.2,2.5,2.2,1.0,0.7,0.6,0.0,,,
Tim Bassett,83.0,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,,,
Jarron Collins,82.9,4.2,3.9,3.3,1.3,1.1,1.0,0.7,0.2,0.1,-0.1,
Derrick Williams,82.9,3.6,3.0,2.6,2.1,1.8,1.1,0.0,,,,
Terry Teagle,82.4,3.1,3.1,2.7,2.1,1.3,1.3,0.7,0.2,0.0,-0.2,-0.8
