"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Malik Beasley,,4.7,4.5,3.5,2.9,1.4,1.3,1.2,0.3,0.2
Jerry Sichting,90.0,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2
Reggie Bullock,88.7,4.6,4.2,3.2,3.1,1.2,1.0,0.5,0.2,0.1
Howard Eisley,88.3,4.5,4.4,3.0,2.9,1.3,1.2,1.0,-0.3,-0.5
Bob Warren,88.1,4.9,4.8,4.0,2.3,1.6,1.6,0.9,0.6,
Lucious Harris,86.4,5.1,4.1,3.1,2.8,2.1,1.1,0.8,0.6,0.4
Bill Hanzlik,86.1,4.7,4.1,3.5,2.4,2.2,1.9,1.3,1.0,0.7
Jack George,85.3,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,
Alex Caruso,85.1,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,
Marcus Thornton,84.9,4.0,3.8,3.5,3.2,2.0,1.7,1.2,0.5,
Lionel Hollins,84.6,5.2,4.0,3.4,2.9,2.3,1.8,0.6,0.1,0.1
