"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')"
Luol Deng,,11.3,9.9,6.5,6.4,6.3,5.9,5.8,5.4,4.5,4.4,3.0,3.0,0.9,0.8,0.0,,
Tom Chambers,90.8,11.2,9.2,7.4,6.4,6.1,5.9,5.4,4.8,4.5,4.4,4.3,3.9,3.3,2.5,0.1,-0.4,
Serge Ibaka,90.0,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.9,3.7,3.0,2.0,0.2,,,
Andrei Kirilenko,89.2,11.6,9.2,7.9,7.3,7.1,6.0,6.0,5.5,4.6,4.5,4.4,1.3,0.0,,,,
Derrick Coleman,88.5,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,0.8,-0.1,-0.2,,
Antonio McDyess,87.9,9.4,7.8,6.7,6.2,6.0,5.7,5.6,4.6,4.2,3.6,3.2,3.0,1.8,1.2,0.8,,
Zach Randolph,87.6,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,4.3,3.2,3.1,3.0,3.0,2.1,1.5,1.3,0.5
Christian Laettner,87.5,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.7,2.6,2.3,0.7,,,,
Bernard King,86.6,12.1,9.1,8.7,7.5,7.1,6.5,5.9,5.5,4.9,3.5,2.8,1.2,0.4,0.0,,,
Hot Rod Williams,86.1,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,,,,
Shane Battier,85.5,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,,,,
