"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Malik Beasley,,4.7,4.5,3.5,2.9,1.4,1.3,1.2,0.3,0.2,,,
Jerry Sichting,89.5,5.2,4.2,3.5,2.7,2.3,1.5,1.1,0.3,0.2,0.2,,
Howard Eisley,89.2,4.5,4.4,3.0,2.9,1.7,1.3,1.2,1.0,0.3,0.0,-0.3,-0.5
Bob Warren,88.1,4.9,4.8,4.0,2.3,1.6,1.6,0.9,0.6,,,,
Jack George,85.3,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,,,,
Alex Caruso,85.1,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,,,,
Reggie Bullock,84.9,4.6,4.2,3.2,3.1,2.8,1.2,1.0,0.6,0.5,0.2,0.1,
Marcus Thornton,84.9,4.0,3.8,3.5,3.2,2.0,1.7,1.2,0.5,,,,
Bruce Brown,84.5,4.8,4.4,4.3,2.2,2.1,1.5,0.7,,,,,
TomÃ¡Å¡ SatoranskÃ½,84.4,5.0,4.7,3.5,3.1,1.0,0.6,,,,,,
Kevin Huerter,84.2,4.9,3.6,2.9,2.8,1.9,1.6,1.5,,,,,
