Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22.0,DEN,NBA,SF,1,0,25:10,10,15,0.667,0,0,,0,0,,3,9,1,1,0,0,2,20
2007-08,23.0,DEN,NBA,SF,1,1,21:38,8,17,0.471,0,0,,2,3,0.667,5,7,1,0,0,2,0,18
2009-10,25.0,DEN,NBA,SF,1,1,28:59,13,22,0.591,1,4,0.25,0,1,0.0,4,10,2,0,0,2,0,27
2010-11,26.0,DEN,NBA,SF,1,1,22:44,4,10,0.4,0,1,0.0,0,0,,3,7,2,1,1,2,3,8
2011-12,27.0,NYK,NBA,SF,1,1,30:20,7,15,0.467,0,3,0.0,5,7,0.714,4,9,0,2,0,0,0,19
2012-13,28.0,NYK,NBA,PF,1,1,30:30,8,14,0.571,3,7,0.429,7,9,0.778,5,12,3,0,0,1,0,26
2013-14,29.0,NYK,NBA,PF,1,1,30:06,10,18,0.556,8,13,0.615,2,2,1.0,3,5,2,0,0,0,3,30
2014-15,30.0,NYK,NBA,SF,1,1,30:16,6,20,0.3,2,13,0.154,0,0,,3,7,0,1,1,1,2,14
2015-16,31.0,NYK,NBA,SF,1,1,22:56,6,11,0.545,1,5,0.2,0,0,,3,6,0,0,1,2,2,13
2016-17,32.0,NYK,NBA,SF,1,0,19:00,4,8,0.5,2,6,0.333,0,0,,0,3,0,0,0,0,0,10
Career,,,NBA,,10,8,262,76,150,0.507,17,52,0.327,16,22,0.727,33,75,11,5,3,10,12,185
