0
2003-04 All-Rookie (1st)
2005-06 All-NBA (3rd)
2006-07 All-NBA (3rd)
2008-09 All-NBA (3rd)
2009-10 All-NBA (2nd)
2011-12 All-NBA (3rd)
2012-13 All-NBA (2nd)
